epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.15597840632711138,0.15000000596046448,0.15214408465794155,0.17678572237491608
2,0.14726896498884473,0.28928571939468384,0.13865512992654527,0.4928571581840515
3,0.13749147270406994,0.3821428716182709,0.1264627401317869,0.610714316368103
4,0.12686508276632855,0.49464285373687744,0.11545694784394332,0.6767857074737549
5,0.11764570155314037,0.5517857074737549,0.10666871507252966,0.7607142925262451
6,0.10930830367973872,0.6160714030265808,0.0976794744176524,0.7821428775787354
7,0.103218788760049,0.6339285969734192,0.08982698608722006,0.800000011920929
8,0.09619654246738979,0.6803571581840515,0.0826770952503596,0.8267857432365417
9,0.0893817207642964,0.7392857074737549,0.07666696554848126,0.8464285731315613
10,0.08588237741163798,0.7464285492897034,0.0702174441356744,0.8517857193946838
11,0.0797500630574567,0.7642857432365417,0.064041038655809,0.860714316368103
12,0.07388553630028452,0.7875000238418579,0.05878725287371448,0.8660714626312256
13,0.07089382143957275,0.7785714268684387,0.054253947495349814,0.8767856955528259
14,0.06325714258211,0.8214285969734192,0.050079320876726084,0.8714285492897034
15,0.06170849874615669,0.8303571343421936,0.04543075000068971,0.887499988079071
16,0.055676124564238955,0.8374999761581421,0.041658915326531445,0.887499988079071
17,0.05352643840014935,0.8482142686843872,0.03921802775668246,0.8928571343421936
18,0.050338628781693324,0.8553571701049805,0.035346237616613506,0.9053571224212646
19,0.050009050965309144,0.8589285612106323,0.03259343934644546,0.9178571701049805
20,0.04556742560650621,0.8714285492897034,0.030749506410211326,0.9125000238418579
21,0.043857050953166825,0.8732143044471741,0.028579140095306294,0.923214316368103
22,0.03998969835894448,0.8803571462631226,0.02639756116883031,0.9303571581840515
23,0.04034727008215019,0.887499988079071,0.024162153360833015,0.9339285492897034
24,0.0360924592507737,0.9035714268684387,0.022408843166860086,0.9392856955528259
25,0.03565147370100021,0.9017857313156128,0.021109322930819224,0.9392856955528259
26,0.03363696687987872,0.8910714387893677,0.019500030670315027,0.9410714507102966
27,0.03038663137704134,0.923214316368103,0.018271535761388284,0.9464285969734192
28,0.03077831534402711,0.8999999761581421,0.01763834355931197,0.9428571462631226
29,0.029118952181722436,0.9285714626312256,0.016272688693633037,0.9446428418159485
30,0.02792958513434444,0.923214316368103,0.015283735089802316,0.9553571343421936
