epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.12732064042772565,0.3928571343421936,0.10024843448773027,0.5053571462631226
2,0.07458737332906042,0.7428571581840515,0.0405562290389623,0.8928571343421936
3,0.04291495281670775,0.8678571581840515,0.020341783266381492,0.9214285612106323
4,0.0319809813318508,0.8910714387893677,0.012360258970875292,0.9660714268684387
5,0.02318612906549658,0.9107142686843872,0.007576037522604955,0.9785714149475098
6,0.0178567062930337,0.9517857432365417,0.0049895547954033,0.9839285612106323
7,0.011716711328231863,0.9714285731315613,0.0026901548724189133,0.9946428537368774
8,0.009851431946403214,0.9732142686843872,0.0023555305761484694,0.9982143044471741
9,0.008501738419623248,0.9750000238418579,0.002909464217788939,0.987500011920929
10,0.008415208820120564,0.9750000238418579,0.0011276511708274485,0.9982143044471741
11,0.0054622567691175,0.9910714626312256,0.0007548900069585735,1.0
12,0.004325883845532579,0.9892857074737549,0.0004286415522074094,1.0
13,0.004062540167277413,0.9946428537368774,0.00038023079079201646,1.0
14,0.0038751999298775835,0.9964285492897034,0.00028064281936427245,1.0
15,0.0022272125900989134,0.9982143044471741,0.00025047785789606027,1.0
16,0.002425268549372309,0.9964285492897034,0.00027260213810222924,1.0
17,0.002778008962715311,0.9964285492897034,0.0002888586247406368,1.0
18,0.0030342812849474803,0.9946428537368774,0.00018666041866838767,1.0
19,0.0020025239941397948,0.9982143044471741,0.00017385685940618194,1.0
20,0.001877333437525002,0.9982143044471741,0.000110515559468435,1.0
21,0.0023968205745664556,0.9964285492897034,0.00010331982599122316,1.0
22,0.0016610717168077827,1.0,0.00010444388403162261,1.0
23,0.0015095404582098127,0.9982143044471741,0.00010076266919765788,1.0
24,0.0015483571199833282,0.9964285492897034,0.0001921913363340926,1.0
25,0.0014863676869676316,1.0,8.242795669762667e-05,1.0
26,0.0011067830737114751,1.0,5.292800993369643e-05,1.0
27,0.0011740136026803937,0.9982143044471741,4.790684955488749e-05,1.0
28,0.0011706587904232687,1.0,5.049281150734584e-05,1.0
29,0.0007640845670331536,1.0,3.97678828773808e-05,1.0
30,0.0010993484664400706,1.0,4.0273810356796144e-05,1.0
