epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.08196973460061209,0.15000000596046448,0.08077732580048698,0.17142857611179352
2,0.07780321453298841,0.23928572237491608,0.07696769003357207,0.2053571492433548
3,0.074153818828719,0.3107142746448517,0.07125442773103714,0.3857142925262451
4,0.07056204038006919,0.36964285373687744,0.06644681809203966,0.5196428894996643
5,0.06638389655521938,0.4535714387893677,0.06257796665387494,0.6392857432365417
6,0.06331827810832433,0.548214316368103,0.05914533697068691,0.6910714507102966
7,0.06030590002025877,0.6071428656578064,0.05591359468443053,0.7517856955528259
8,0.0573258387190955,0.6517857313156128,0.052648215235344,0.8035714626312256
9,0.05393194385937282,0.6910714507102966,0.04989574453128236,0.8232142925262451
10,0.05126144609280995,0.7285714149475098,0.047146493435970376,0.8303571343421936
11,0.048981040929045,0.7464285492897034,0.04447210172989539,0.8339285850524902
12,0.04663261749914714,0.7589285969734192,0.041955548405115096,0.8446428775787354
13,0.04372170290776661,0.7839285731315613,0.0396840981207788,0.8678571581840515
14,0.0422807657292911,0.7892857193946838,0.0374848105811647,0.8714285492897034
15,0.03980541867869241,0.8035714626312256,0.03521093122128929,0.8714285492897034
16,0.03776155688932964,0.8125,0.033197311258741785,0.8767856955528259
17,0.03557669701320784,0.8374999761581421,0.031064900809100696,0.8839285969734192
18,0.0342801425073828,0.8464285731315613,0.029048165173402855,0.8928571343421936
19,0.03139314694064004,0.8553571701049805,0.02718890668558223,0.8982142806053162
20,0.029917003001485552,0.8553571701049805,0.025185994976865394,0.9071428775787354
21,0.028806378692388536,0.8553571701049805,0.023754281856651818,0.9035714268684387
22,0.02691007224576814,0.8714285492897034,0.021960910236729043,0.9089285731315613
23,0.025079470447131564,0.8946428894996643,0.020566090369330985,0.9089285731315613
24,0.025072803028992244,0.8785714507102966,0.019154905075473443,0.9142857193946838
25,0.023318873665162495,0.8946428894996643,0.017860033842069762,0.9196428656578064
26,0.022275212194238392,0.8910714387893677,0.016814377684412258,0.925000011920929
27,0.02090576503958021,0.8964285850524902,0.015885984285601548,0.9214285612106323
28,0.02010457691337381,0.9053571224212646,0.014886259347466485,0.9303571581840515
29,0.01831143152500902,0.923214316368103,0.01400078181842608,0.9303571581840515
30,0.01777229298438345,0.9267857074737549,0.013094148226082325,0.9446428418159485
